File;% Stmts;% Branch;% Funcs;% Lines;Uncovered Line #s
All files;52.88;44.75;54.47;50.49;
app;0;0;0;0;
_layout.tsx;0;0;0;0;17-58
calculator.tsx;0;0;0;0;15-59
index.tsx;0;100;0;0;12-19
app/list;0;100;0;0;
add.tsx;0;100;0;0;10
app/list/edit;0;100;0;0;
[id].tsx;0;100;0;0;15-19
components;8.06;8.79;9.43;7.62;
Button.tsx;0;0;0;0;9-44
Card.tsx;100;0;100;100;4
CustomAlert.tsx;0;0;0;0;21-75
CustomInput.tsx;100;72.72;100;100;21-42
Divider.tsx;0;0;0;0;5
Form.tsx;0;0;0;0;19-104
Header.tsx;0;0;0;0;17-65
Icons.tsx;0;0;0;0;7-49
List.tsx;0;0;0;0;15-40
Loading.tsx;0;100;0;0;7
Row.tsx;0;0;0;0;5
Screen.tsx;0;0;0;0;5-15
TextWhite.tsx;100;0;100;100;4
TouchableIcons.tsx;0;0;0;0;12-56
constants;80;100;100;80;
alert.ts;100;100;100;100;
pages.ts;0;100;100;0;1
text.ts;100;100;100;100;
whatsapp.ts;100;100;100;100;
hooks;85.71;75;100;83.33;
useInitAlert.ts;85.71;75;100;83.33;13
interfaces;0;0;0;0;
ButtonProps.ts;0;0;0;0;
ButtonTouchableProps.ts;0;0;0;0;
CurrentRoute.ts;0;0;0;0;
CustomInputProps.ts;0;0;0;0;
FormProps.ts;0;0;0;0;
IconProps.ts;0;0;0;0;
IconsProps.ts;0;0;0;0;
ListProps.ts;0;0;0;0;
ProductProps.ts;0;0;0;0;
SetProductProps.ts;0;0;0;0;
ShowAlertProps.ts;0;0;0;0;
StateProps.ts;0;0;0;0;
services;96.07;100;92;96;
AlertService.ts;100;100;84.61;100;
CartStoreService.ts;100;100;100;100;
ClipboardService.ts;100;100;100;100;
ProductService.ts;100;100;100;100;
ShareService.ts;86.66;100;100;86.66;19-20
stores;100;100;100;100;
CartStore.ts;100;100;100;100;
stores/helpers;100;100;100;100;
CartInMemory.ts;100;100;100;100;
utils;0;100;100;0;
products.ts;0;100;100;0;1
utils/functions;97.46;92.59;100;98.52;
ConvertToProductsList.ts;96.55;94.44;100;100;40
MathFunctions.ts;97.36;90;100;97.05;49
NumberFunctions.ts;100;100;100;100;
SortList.ts;100;100;100;100;
StringFunctions.ts;100;100;100;100;
