File;% Stmts;% Branch;% Funcs;% Lines;Uncovered Line #s
All files;88.7;80.27;90.11;90.18;
app;92.98;81.81;88.88;92.85;
index.tsx;100;100;100;100;
lists.tsx;92;81.81;88.23;91.83;76-77,164-211
app/list;100;100;100;100;
add.tsx;100;100;100;100;
app/list/edit;100;100;100;100;
[id].tsx;100;100;100;100;
app/reminders;100;100;100;100;
index.tsx;100;100;100;100;
app/reminders/[listId];89.47;100;88.88;88.23;
index.tsx;100;100;100;100;
new.tsx;0;100;0;0;11-13
app/reminders/[listId]/edit;0;100;0;0;
[reminderId].tsx;0;100;0;0;11-14
components;91.15;89.16;86.95;93.52;
Button.tsx;100;100;100;100;
Card.tsx;100;100;100;100;
CustomAlert.tsx;95.83;76.47;100;95.45;25
CustomInput.tsx;100;94.44;100;100;43
Divider.tsx;100;100;100;100;
Form.tsx;93.54;100;60;93.33;98-109
Header.tsx;100;100;100;100;
HeaderActions.tsx;68.42;63.63;62.5;75;15-18,51
Icons.tsx;90.9;86.95;90.9;90.9;58
List.tsx;85.71;100;83.33;100;
ListSectionHeader.tsx;100;100;100;100;
Loading.tsx;100;100;100;100;
Page.tsx;100;100;100;100;
Row.tsx;100;100;100;100;
Screen.tsx;100;85.71;100;100;11
TextWhite.tsx;100;100;100;100;
TouchableIcons.tsx;85.71;100;85.71;85.71;45
components/Form;0;0;0;0;
Reminder.tsx;0;0;0;0;21-95
components/List;100;100;100;100;
ListItem.tsx;100;100;100;100;
components/Reminder;100;100;100;100;
ReminderItem.tsx;100;100;100;100;
constants;85.71;100;100;85.71;
alert.ts;100;100;100;100;
color.ts;100;100;100;100;
pages.ts;100;100;100;100;
size.ts;100;100;100;100;
titles.ts;0;100;100;0;1
whatsapp.ts;100;100;100;100;
constants/text;80;66.66;80;80;
calculator.ts;0;100;0;0;1-10
error.ts;100;100;100;100;
inputs.ts;100;100;100;100;
lists.ts;100;66.66;100;100;8
reminders.ts;100;100;100;100;
enums;0;0;0;0;
NameField.ts;0;0;0;0;
PermissionState.ts;0;0;0;0;
ReminderState.ts;0;0;0;0;
ReminderStatus.ts;0;0;0;0;
hooks;79.41;68.29;89.65;81.72;
useInitAlert.ts;90.9;100;100;90;17
useParams.ts;100;100;100;100;
useReminderPendingAlerts.ts;77.01;60.6;86.95;79.74;37-39,82-83,100-101,113,117-121,128-129,147,151
services;88.81;78.62;89.65;91.44;
AlertService.ts;94.44;83.33;86.95;97.87;132
CartStoreService.ts;100;100;100;100;
ClipboardService.ts;100;100;100;100;
NotificationService.ts;100;100;100;100;
ProductService.ts;100;100;100;100;
ReminderOrchestrator.ts;87.27;74.07;100;86.79;151-152,157-158,164-165,174-175,181-182,197-198,215-216
ReminderService.ts;53.12;44;50;71.42;35-46
ShareService.ts;90.9;100;100;90.9;18-19
stores;92.78;71.87;98.36;92.2;
CartStore.ts;88.7;66.66;97.14;88.67;123,134-143
ReminderStore.ts;100;87.5;100;100;46
stores/helpers;100;100;100;100;
CartInMemory.ts;100;100;100;100;
utils;88.88;100;66.66;88.88;
platform.ts;88.88;100;66.66;88.88;7
utils/functions;97.43;88.77;100;100;
ConvertToProductsList.ts;96.55;94.44;100;100;40
DateFunctions.ts;94.44;70;100;100;50-53,61-80,88-120
DuplicateProducts.ts;100;100;100;100;
MathFunctions.ts;100;96.87;100;100;6
NumberFunctions.ts;100;100;100;100;
SortList.ts;100;100;100;100;
StringFunctions.ts;100;100;100;100;
